Platform Action,jhower_category,enava_category,jhower_enava_match,Suggested Category
Updated FormReferenceElement Element,Uncategorized,Uncategorized,1,
Updated HeaderElement Element,Uncategorized,Uncategorized,1,
Updated HorizontalRuleElement Element,Uncategorized,Uncategorized,1,
Updated ImageElement Element,Uncategorized,Uncategorized,1,
Updated IntervalSinceStartPrerequisite Prerequisite,Uncategorized,Uncategorized,1,
Updated JoinGroupSpaceElement Element,Uncategorized,Uncategorized,1,
Updated LandingPageElement Element,Uncategorized,Uncategorized,1,
Updated ListElement Element,Uncategorized,Uncategorized,1,
Updated MomentElement Element,Uncategorized,Uncategorized,1,
Updated OnboardingElement Element,Uncategorized,Uncategorized,1,
Updated ParagraphElement Element,Uncategorized,Uncategorized,1,
Updated PlatformLinkElement Element,Uncategorized,Uncategorized,1,
Updated Program,Uncategorized,Uncategorized,1,
Updated QuestionElement Element,Uncategorized,Uncategorized,1,
Updated QuizElement Element,Uncategorized,Uncategorized,1,
Updated ReferenceNode Node,Uncategorized,Uncategorized,1,
Updated ResourceListElement Element,Uncategorized,Uncategorized,1,
Updated ResultElement Element,Uncategorized,Uncategorized,1,
Updated SoundcloudElement Element,Uncategorized,Uncategorized,1,
Updated ToDoListElement Element,Uncategorized,Uncategorized,1,
Updated UnlockDatePrerequisite Prerequisite,Uncategorized,Uncategorized,1,
Updated UserImageElement Element,Uncategorized,Uncategorized,1,
Updated UserNoteElement Element,Uncategorized,Uncategorized,1,
Updated VideoElement Element,Uncategorized,Uncategorized,1,
Updated VideoPlaylistElement Element,Uncategorized,Uncategorized,1,
Updated WebLinkElement Element,Uncategorized,Uncategorized,1,
User Added Page,Consume,Consume,1,
User Onboarded,Invite,Invite,1,
User Removed Page,Consume,Consume,1,
